code,product_name,categories_en,ingredients_text,additives_en,nutrition_grade_fr,energy_100g,fat_100g,sugars_100g,proteins_100g,salt_100g,carbohydrates_100g,cholesterol_100g,fiber_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b9_100g,iron_100g
0011110001207,White enriched bread,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads","ENRICHED _WHEAT_ FLOUR (FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, HIGH FRUCTOSE CORN SYRUP, YEAST, _SOYBEAN_ OIL, SALT, CALCIUM PROPIONATE, MONOGLYCERIDES, DIGLYCERIDES, CALCIUM SULFATE, _WHEAT_ _GLUTEN_, DATEM, GRAIN VINEGAR, MONOCALCIUM PHOSPHATE, SOY LECITHIN, CITRIC ACID, CORNSTARCH, CALCIUM IODATE, POTASSIUM IODATE, CALCIUM PHOSPHATE. CONTAINS: SOY, WHEAT. I  ","E101 - Riboflavin,E101i - Riboflavin,E282 - Calcium propionate,E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E375 - Nicotinic acid,E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,E516 - Calcium sulphate,E916 - Calcium iodate,E917 - Potassium iodate",b,1050.0,1.79,7.14,7.14,1.22,50.0,0.0,3.57,0.482,0.0,0.0,0.000429,0.000243,0.00286,8.57e-05,0.00257
0011110020109,Hamburger enriched buns,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads","ENRICHED _WHEAT_ FLOUR (FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, Niacin, THIAMINE MONONIRATE, RIBOFLAVIN, FOLIC ACID), WATER, HIGH FRUCTOSE CORN SYRUP, YEAST, _SOYBEAN_ OIL, _WHEAT_ _GLUTEN_, SALT, Monoglycerides, Diglycerides, CALCIUM PROPIONATE, DATEM, CALCIUM SULFATE, GRAIN VINEGAR, CITRIC ACID, _SOY_ LECITHIN, POTASSIUM IODATE, MONOCALCIUM PHOSPHATE.","E101 - Riboflavin,E101i - Riboflavin,E282 - Calcium propionate,E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E375 - Nicotinic acid,E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,E516 - Calcium sulphate,E917 - Potassium iodate",b,1170.0,2.33,6.98,9.3,1.18,51.2,0.0,2.33,0.465,0.0,0.0,0.000349,0.000237,0.00279,9.3e-05,0.00335
0011110026460,White Hamburger Enriched Buns,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Special breads,Hamburger buns","Water, enriched flour (wheat flour, malted barley, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), soy fiber, high fructose corn syrup, wheat gluten, oat fiber, calcium sulfate, yeast. contains 2% or less of: salt, vinegar, soy flour, soybean oil, sodium stearoyl lactylate, guar gum, mono- and diglycerides, ammonium sulfate, ascorbic acid, calcium iodate, calcium propionate (preservative).","E101 - Riboflavin,E101i - Riboflavin,E282 - Calcium propionate,E300 - Ascorbic acid,E375 - Nicotinic acid,E412 - Guar gum,E471 - Mono- and diglycerides of fatty acids,E481 - Sodium stearoyl-2-lactylate,E516 - Calcium sulphate,E517 - Ammonium sulphate,E916 - Calcium iodate",a,778.0,1.16,4.65,9.3,1.23952,44.19,0.0,9.3,0.488,0.0,0.0,0.007,0.007907,0.00093,4.3e-05,0.00167
0011150981248,Wheat Hamburger Buns,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Special breads,Hamburger buns","Enriched wheat flour (flour, malted barley flour, reduced iron, niacin, thiamin mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), water, whole wheat flour, high fructose corn syrup, yeast, soybean oil, wheat gluten, salt, monoglycerides, calcium sulfate, calcium propionate (preservative), datem, caramel color, monocalcium phosphate, cornstarch, potassium iodate, soy lecithin.","E101 - Riboflavin,E101i - Riboflavin,E150a - Plain caramel,E282 - Calcium propionate,E322 - Lecithins,E322i - Lecithin,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E375 - Nicotinic acid,E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,E516 - Calcium sulphate,E917 - Potassium iodate",b,1167.0,4.65,6.98,9.3,1.3589,51.16,0.0,2.3,0.535,0.0,0.0,0.003,0.002372,0.002791,4.3e-05,0.00335
0011150992121,Sliced Hamburger Buns,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Special breads,Hamburger buns","Enriched wheat flour [flour, malted barley flour, reduced iron, niacin, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid], water, high fructose corn syrup, yeast, soybean oil, wheat gluten, salt, mono- and diglycerides, calcium propionate (preservative), datem, calcium sulfate, grain vinegar, citric acid , soy lecithin, potassium iodate, monocalcium phosphate.","E101 - Riboflavin,E101i - Riboflavin,E282 - Calcium propionate,E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E375 - Nicotinic acid,E471 - Mono- and diglycerides of fatty acids,E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,E516 - Calcium sulphate,E917 - Potassium iodate",b,1180.0,2.56,5.13,7.69,1.17348,51.28,0.0,2.6,0.462,0.0,0.0,0.004,0.002615,0.003077,3.9e-05,0.00277
0011225033674,8 Hamburger Buns,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Special breads,Hamburger buns","Enriched _Wheat_ Flour (Flour, Malted _Barley_ Flour, Reduced Iron, Niacin, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid), Water, High Fructose Corn Syrup, Yeast, _Soybean_ Oil, _Wheat_  _Gluten_, Salt, Monoglycerides, Calcium Propionate (Preservative), Calcium Sulfate, DATEM, Grain Vinegar, Citric Acid, Potassium Iodate, Soy Lecithin, Sesame Seeds, _Soy_ Flour.","E101 - Riboflavin,E101i - Riboflavin,E282 - Calcium propionate,E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E375 - Nicotinic acid,E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,E516 - Calcium sulphate,E917 - Potassium iodate",b,1170.0,3.49,4.65,9.3,1.36,53.5,0.0,2.33,0.535,0.0,0.0,0.000523,0.000316,0.00372,9.3e-05,0.00251
0014100070337,Farmhouse Oatmeal,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads","Unbromated unbleached enriched _wheat_ flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), water, oats, high fructose corn syrup, yeast, _soybean_ oil; contains 2% or less of: salt, _wheat_ _gluten_, butter (_milk_), sodium stearoyl lactylate, citric acid, calcium propionate, sorbic acid, monoglycerides, diglycerides, whey, malted barley flour, _soy_ lecithin.","E101 - Riboflavin,E101i - Riboflavin,E200 - Sorbic acid,E282 - Calcium propionate,E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E375 - Nicotinic acid,E481 - Sodium stearoyl-2-lactylate",a,279.0,4.65,6.98,9.3,1.18,51.2,0.0,2.33,0.465,0.0,0.0,0.000279,0.000237,0.00372,7.44e-05,0.00251
0014100074670,Farmhouse Sourdough,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads","Unbromated unbleached enriched _wheat_ flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), water, yeast, _wheat_ flour, high fructose corn syrup, soybean oil; 2% or less of: salt, rye flour, potato flour, lactic acid, monoglycerides, diglycerides, sodium stearoyl lactylate, citric acid, calcium propionate, sorbic acid, _wheat_ _gluten_, butter (_milk_), whey, malted barley flour, _soy_ lecithin.","E101 - Riboflavin,E101i - Riboflavin,E200 - Sorbic acid,E270 - Lactic acid,E282 - Calcium propionate,E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E375 - Nicotinic acid,E481 - Sodium stearoyl-2-lactylate",b,1170.0,3.49,4.65,9.3,1.3,51.2,0.0,2.33,0.512,0.0,0.0,0.000279,0.000316,0.00372,5.58e-05,0.00251
0014100085393,Goldfish Colors,"Salty snacks,Appetizers,Crackers","Unbleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin B1], riboflavin [vitamin B2], folic acid), cheddar cheese (cultured milk, salt, enzymes, annatto), vegetable oils (canola, sunflower and/or soybean), contains 2 percent or less of: salt, yeast, autolyzed yeast, sugar, spices, dehydrated onions, leavening (monocalcium phosphate, ammonium bicarbonate, baking soda) and annatto extract, beet juice concentrate, paprika extract, paprika, turmeric extract, huito juice concentrate, watermelon juice concentrate for color","E100 - Curcumin,E101 - Riboflavin,E101i - Riboflavin,E160b - Annatto,E160c - Paprika extract,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E375 - Nicotinic acid",d,1950.0,16.7,3.33,10.0,2.03,66.7,0.0167,3.33,0.8,0.0001,0.0,0.0005,0.000567,0.00533,0.000133,0.0036
0014100085485,Goldfish Flavor Blasted Xtra Cheddar,"Salty snacks,Appetizers,Crackers","UNBLEACHED ENRICHED _WHEAT_ FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), CHEDDAR CHEESE ([CULTURED _MILK_, SALT, ENZYMES], ANNATTO), VEGETABLE OILS (CANOLA, SUNFLOWER AND/OR _SOYBEAN_), SALT, CONTAINS 2 PERCENT OR LESS OF: SUGAR, YEAST, WHEY, AUTOLYZED YEAST, YELLOW CORN FLOUR, LEAVENING (BAKING SODA, MONOCALCIUM PHOSPHATE, AMMONIUM BICARBONATE), CHEDDAR CHEESE (MILK, SALT, CULTURES, ENZYMES), TORULA YEAST, PAPRIKA, ENZYME MODIFIED CHEDDAR CHEESE (MILK, CULTURES, SALT, ENZYMES), DEHYDRATED ONIONS, SPICES (CONTAINS CELERY), YEAST EXTRACT, DEHYDRATED GARLIC, CITRIC ACID, PAPRIKA EXTRACT FOR COLOR, LACTIC ACID, CALCIUM LACTATE. NATURAL FLAVORS AND MILKFAT.","E101 - Riboflavin,E101i - Riboflavin,E160b - Annatto,E270 - Lactic acid,E327 - Calcium lactate,E330 - Citric acid,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E375 - Nicotinic acid",d,1950.0,16.7,3.33,13.3,2.29,63.3,0.0167,3.33,0.9,0.0,0.0,0.0005,0.000567,0.00533,0.000133,0.0036
